name,category,source,lat,lon,wikidata_qid
Centro de Tradições Nordestinas Luiz Gonzaga,cultural_center,overture,-22.897462844848633,-43.220375061035156,
Cidade Universitária da UFRJ,university,overture,-22.853055953979492,-43.225833892822266,
Clube Naval,historic_site,overture,-22.908180236816406,-43.176673889160156,
Estatua Equestre de D. Pedro I,monument,overture,-22.906986236572266,-43.18304443359375,
Largo do Machado Station,public_square,overture,-22.93090057373047,-43.178306579589844,
"Marechal Hermes, Rio de Janeiro",historic_site,overture,-22.861948013305664,-43.37083435058594,
Mirante do Valongo,natural_landmark,overture,-22.898914337158203,-43.187049865722656,
Obelisco da Avenida Rio Branco,monument,overture,-22.9127140045166,-43.1747932434082,
Pala'cio - Parque Lage,public_square,overture,-22.96018409729004,-43.21217346191406,
Paço de São Cristóvão,historic_site,overture,-22.905723571777344,-43.22689437866211,
Portao Historico da Fortaleza de Sao Joao,historic_site,overture,-22.943544387817383,-43.157020568847656,
Sambódromo Setor 10-11-12-13,theater,overture,-22.91203498840332,-43.19681167602539,
Selaron Steps,public_square,overture,-22.9155330657959,-43.179656982421875,
Vista Chinesa,natural_landmark,overture,-22.9732666015625,-43.249473571777344,
Museu de Arte Moderna do Rio de Janeiro,museum,overture,-22.913673400878906,-43.1718635559082,
Estátua de Carlos Drummond de Andrade,monument,overture,-22.98435401916504,-43.18916702270508,
Etnias - Mural de Graffiti,historic_site,overture,-22.894336700439453,-43.18714904785156,
Monumento Nacional aos Mortos da Segunda Guerra Mundial,memorial,overture,-22.916582107543945,-43.173397064208984,
Monumento Retirada da Laguna,monument,overture,-22.954940795898438,-43.165870666503906,
Monumento ao Almirante Barroso Barao do Amazonas,monument,overture,-22.91851806640625,-43.1759147644043,
Monumento ao Barão de Mauá,monument,overture,-22.89607048034668,-43.18097686767578,
Monumento ao Senador Pinheiro Machado,monument,overture,-22.984315872192383,-43.20597457885742,
Monumento aos Pracinhas,memorial,overture,-22.916580200195312,-43.17390823364258,
Pedra da Gávea,natural_landmark,overture,-22.99786949157715,-43.284732818603516,
Arquivo histórico do Banco do Brasil,cultural_center,overture,-22.901046752929688,-43.1765251159668,
Casa Brasil,cultural_center,overture,-22.90060806274414,-43.17620849609375,
Casa Museu Eva Klabin,museum,overture,-22.976009368896484,-43.19844436645508,
Casa de Banho de Dom Joao VI,museum,overture,-22.87873649597168,-43.21189880371094,
Centro Nacional de Flocore e Cultura Popular,cultural_center,overture,-22.926292419433594,-43.17646408081055,
Fondation Moreira Sales,cultural_center,overture,-22.98186492919922,-43.2393684387207,
Fundação Casa de Rui Barbosa,museum,overture,-22.948928833007812,-43.18698501586914,
Memorial Pretos Novos,memorial,overture,-22.896039962768555,-43.1929817199707,
Museo Militar Copacabana,museum,overture,-22.985713958740234,-43.185054779052734,
Museu Carmen Miranda,museum,overture,-22.941368103027344,-43.17216110229492,
Museu Casa de Benjamin Constant,museum,overture,-22.92045021057129,-43.18826675415039,
Museu Judaico do Rio de Janeiro,cultural_center,overture,-22.90955924987793,-43.17481231689453,
Museu Light da Energia,cultural_center,overture,-22.90252685546875,-43.187068939208984,
Museu Naval,museum,overture,-22.903940200805664,-43.172977447509766,
Museu Penitenciário,museum,overture,-22.915241241455078,-43.199832916259766,
Museu Villa-Lobos,museum,overture,-22.95186424255371,-43.190582275390625,
Museu da Geodiversidade,museum,overture,-22.857337951660156,-43.23231506347656,
Museu da Ii Guerra Mundial,monument,overture,-22.916513442993164,-43.174041748046875,
Museu de Luiz Gonzaga,cultural_center,overture,-22.897497177124023,-43.22040939331055,
Museu do Planetário,museum,overture,-22.978300094604492,-43.230281829833984,
Palácio Episcopal da Conceição,historic_site,overture,-22.899534225463867,-43.18285369873047,
Panteão Duque de Caxias,historic_site,overture,-22.903614044189453,-43.18916702270508,
Solar de Grandjean de Montigny,museum,overture,-22.979021072387695,-43.23373031616211,
Canecão | Rio de Janeiro RJ,theater,overture,-22.956003189086914,-43.17757034301758,
